x_m,reference_z_m,sampled_5m_z_m,sampled_10m_z_m,sampled_30m_z_m
25.000000000,-0.177998417,-0.177998417,-0.042322187,-0.371421976
25.500000000,-0.221168394,-0.204769213,-0.082660605,-0.378850416
26.000000000,-0.261211078,-0.231540008,-0.122999024,-0.386278855
26.500000000,-0.297891020,-0.258310804,-0.163337442,-0.393707295
27.000000000,-0.330995167,-0.285081599,-0.203675861,-0.401135734
27.500000000,-0.360334133,-0.311852394,-0.244014279,-0.408564174
28.000000000,-0.385743309,-0.338623190,-0.284352698,-0.415992613
28.500000000,-0.407083825,-0.365393985,-0.324691116,-0.423421053
29.000000000,-0.424243347,-0.392164780,-0.365029534,-0.430849492
29.500000000,-0.437136708,-0.418935576,-0.405367953,-0.438277932
30.000000000,-0.445706371,-0.445706371,-0.445706371,-0.445706371
30.500000000,-0.449922719,-0.431211061,-0.416149894,-0.437438804
31.000000000,-0.449784165,-0.416715750,-0.386593416,-0.429171237
31.500000000,-0.445317101,-0.402220440,-0.357036938,-0.420903669
32.000000000,-0.436575653,-0.387725130,-0.327480461,-0.412636102
32.500000000,-0.423641281,-0.373229819,-0.297923983,-0.404368535
33.000000000,-0.406622198,-0.358734509,-0.268367506,-0.396100968
33.500000000,-0.385652628,-0.344239198,-0.238811028,-0.387833400
34.000000000,-0.360891899,-0.329743888,-0.209254550,-0.379565833
34.500000000,-0.332523379,-0.315248577,-0.179698073,-0.371298266
35.000000000,-0.300753267,-0.300753267,-0.150141595,-0.363030699
35.500000000,-0.265809240,-0.256135622,-0.120585117,-0.354763131
36.000000000,-0.227938965,-0.211517977,-0.091028640,-0.346495564
36.500000000,-0.187408490,-0.166900333,-0.061472162,-0.338227997
37.000000000,-0.144500516,-0.122282688,-0.031915685,-0.329960430
37.500000000,-0.099512574,-0.077665043,-0.002359207,-0.321692862
38.000000000,-0.052755105,-0.033047398,0.027197271,-0.313425295
38.500000000,-0.004549457,0.011570247,0.056753748,-0.305157728
39.000000000,0.044774177,0.056187892,0.086310226,-0.296890161
39.500000000,0.094878882,0.100805536,0.115866704,-0.288622593
40.000000000,0.145423181,0.145423181,0.145423181,-0.280355026
40.500000000,0.196063226,0.190984509,0.176785439,-0.272087459
41.000000000,0.246455002,0.236545836,0.208147696,-0.263819891
